"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ETNK2",1396.98110926474,-0.849009018831756,0.75619959604651,-1.122731383712,0.261551594865668,0.725777476324713
"SF3B6",1321.73571975558,0.255648561386658,0.238286041089437,1.07286419388161,0.283332053419068,0.741402511586424
"CUL3",1327.09086116394,0.309773607137225,0.218802010805558,1.41577129934382,0.156842475250972,0.62148979087609
"CSE1L",1296.68393885936,0.484201931502344,0.262080315267488,1.84753261994572,0.064669984980141,0.472446174807286
"TMEM131",1357.58777008993,-0.228946226824011,0.195896832268836,-1.16870816221173,0.242521232290524,0.708830002394041
"MTND1P23",798.722699793758,-0.377512696076661,1.00904727194825,-0.374127859587554,NA,NA
"SIPA1L1",1336.16435640804,-0.0545517596893225,0.292371878547138,-0.186583470203778,0.851987228007864,0.968672030706615
"HSD17B7",1411.88311142739,-1.21775934409977,0.546697213953455,-2.22748408628885,0.0259149382067292,0.35128075439298
"LTA4H",1330.26052798301,0.0854642772043127,0.16152386699686,0.529112376971348,0.596727495996385,0.901698170343075
"UBR2",1348.48764623042,-0.159249456348375,0.287449314466789,-0.554008822890317,0.579572807584324,0.897386923233135
"MRPL19",1321.89518342859,0.1155390422861,0.28645956142286,0.403334563916148,0.686702117920765,0.929417256626057
"CDK16",1359.0897717736,-0.319162751381621,0.277618492794902,-1.14964514131777,0.2502900576435,0.716182471303177
"CAMTA2",1368.9480558365,-0.145203430502661,0.250727822202993,-0.579127713976241,0.562503001254162,0.891682017261779
"BCKDHA",1364.09617156639,0.0543594604256301,0.310028120039278,0.17533719334473,0.860814688357878,0.970311690265545
"IWS1",1314.92879456564,0.352143502101918,0.215673999674265,1.63275824918054,0.102519851191179,0.545731362588448
"KIDINS220",1331.59144727043,-0.0470650784501603,0.367317575230613,-0.128131844550622,0.898044635442146,0.979944543637076
"ZMYM2",1313.99287836974,-0.0441149715114411,0.274215648952716,-0.160876929088201,0.872190333518887,0.972278047830778
"RDH10",1341.12207339652,0.661961657809945,0.26829687396879,2.46727309199641,0.0136146479168242,0.282243596794579
"ZC3H3",1405.05649775635,-1.63356135114662,0.678384088968402,-2.4080183744149,0.0160393737434869,0.295889306310715
"GDE1",1317.29639801106,0.865326403768307,0.221488995999829,3.90685957043651,9.35034588200692e-05,0.038269593193518
"GNMT",1432.64657614945,-2.29641511654257,0.744023139199272,-3.08648346476697,0.00202539211122394,0.137319208960174
"PTPRJ",1369.45864822271,0.148194589522817,0.355760616705034,0.416557040223729,0.677002437499755,0.925803990938271
"HYPK",1339.2531889086,-0.431682424459501,0.466064618793337,-0.926228696735545,0.354327142207044,0.789366843530982
"PSMB6",1345.36415829468,0.473770579502676,0.164060520816407,2.88777932158859,0.00387971962223797,0.17415701997988
"VAPB",1333.09807137892,0.534209832502264,0.285142562525364,1.87348331224576,0.0610016750210951,0.465098240427246
"SPCS1",1305.61572053808,0.529767615977999,0.252782524173229,2.09574462360759,0.0361048510701112,0.393459070993798
"PSME3IP1",1333.03005103686,-0.0780821467453436,0.214323381602217,-0.364319311134535,0.71561958111638,0.937290206537027
"TLCD2",1379.66001943006,0.475937204551068,0.395144053280484,1.20446505673017,0.228409880114984,0.697930682979206
"SH3BGRL3",1302.34155382954,-0.108549577584846,0.390307139831708,-0.27811322547584,0.780925443625186,0.952025174270139
"TCERG1",1328.75212255873,-0.241296589121084,0.246796605865437,-0.977714374453947,0.328215610335132,0.772439909540636
"OLA1",1289.01319733986,0.826223754507063,0.249945207275814,3.30561951362135,0.000947666791249808,0.096938459591487
"SEC23IP",1288.17190402069,0.37189482046378,0.254482648989158,1.46137594032835,0.143912299711924,0.606051603285186
"ALCAM",1315.00217728679,0.118043099130823,0.382234934989609,0.308823418074101,0.757455854255794,0.947076928217596
"BIRC2",1332.81988269963,-0.217177157806297,0.282666476948275,-0.768315932440895,0.44229951140185,0.8417521723858
"MEA1",1305.56087211994,0.381125917552583,0.247307762151231,1.54109969795255,0.123292523375529,0.580742117169133
"VAT1",1375.7680259909,0.26571308754711,0.224129838077119,1.18553196587633,0.235807183667002,0.702634624190729
"TRIOBP",1331.50175020404,0.456232998753477,0.273130579353227,1.67038417973497,0.0948433776636485,0.530041341759627
"AC005261.1",1330.75643264331,-0.319978820129031,0.339512262703879,-0.942466164788029,0.345954026133406,0.784297338993423
"WASHC4",1302.30855623435,0.169584236781656,0.356808876391474,0.475280319527692,0.634587184707604,0.91398840516316
"SPTSSA",1306.6073089037,0.124574352564305,0.323974334229498,0.384519202302176,0.700593666430874,0.932879414303737
"EIF3F",1318.96326358074,0.369712565071424,0.28172014519678,1.31233982153879,0.189405501714561,0.658695928487299
"MORC2",1337.97342364464,-0.47001756954643,0.258869925988979,-1.81565150046221,0.0694238481857247,0.479821621767497
"GPR107",1315.10210669534,0.618085997716504,0.227129729130145,2.72129060376038,0.00650275681228826,0.214628293352498
"SYPL1",1272.78188318449,0.975182598260184,0.295240654863154,3.30300919672525,0.00095653250716225,0.096938459591487
"TPM1",1297.70706709212,0.513315939932596,0.398912921932976,1.28678694449222,0.198168558649799,0.669470004592775
"MED13",1304.61988796221,-0.0839008747901134,0.266501775206663,-0.314822949021826,0.752896086300146,0.945795131784189
"BDH2",1339.23937633004,-0.455394820291727,0.627334344631061,-0.725920434915049,0.467887548333543,0.854537396746043
"SSBP3",1372.13542924543,-0.0819195214618012,0.286314430291665,-0.286117333933713,0.774788255716164,0.951436496263693
"GSDMB",1340.34334548514,-0.877842249233206,0.525306383398688,-1.67110523872495,0.0947008928112228,0.529986482587099
"PPARD",1293.1320552324,1.07200908032537,0.479074309409489,2.23766764209655,0.025242736878108,0.350669783744489
