"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EFR3B",31.0888406840959,0.0358692802756762,0.567186913778552,0.0632406697057202,0.949574859833934,0.984656802037029
"FOXD2",31.0954201412023,-0.277981717203108,0.478664395000827,-0.580744505140449,0.561412661823993,0.822554231447378
"CDCA5",28.7213292476311,0.434776312902781,0.871981025799282,0.498607538511807,0.618055893350237,0.853352203224443
"C16orf95",31.0658261100733,0.104055729950643,0.459764823171519,0.2263238175397,0.820949575220201,0.939674505574108
"ANKRD29",28.3040816522688,-0.561436580789621,0.617831801606105,-0.908720754305816,0.363497546017691,0.700766483605275
"FAM53A",30.2507905471802,-0.133570277956431,0.552442011003093,-0.241781535973163,0.808949446664169,0.934773153530453
"PRTFDC1",29.5335999456744,0.0678542081773296,0.954509468151831,0.0710880409690564,0.943327686014848,0.983063918071169
"NCF1B",29.8603189119418,0.0515249774641815,0.684508758416776,0.0752729265047761,0.93999756187534,0.982039085540515
"AL360013.3",30.81279741777,-0.601170253604642,0.908474505931154,-0.66173596471864,0.508140451357183,0.793752235081697
"PLXDC1",30.0386814716603,-1.20255298667409,0.524449571438707,-2.29298115999058,0.0218490896366629,0.208989112118442
"RAD51AP1",27.5763098179957,-0.818699786795849,1.14894265991158,-0.712568011756877,0.476113111904677,0.77744934394464
"AL353150.1",29.9488882359955,-0.929165934481948,0.71088043271712,-1.30706359567459,0.191191113758101,0.54348478236574
"AC007326.4",31.0283427628056,-0.104923529711627,1.12732837042351,-0.0930727305942008,0.92584578121244,0.975893081138889
"C16orf54",29.4138711452265,0.393469921803148,0.59116055916259,0.665588926231004,0.505673886449462,0.79200613411332
"USP3-AS1",29.9158448148606,-1.17553584118524,0.656465973024206,-1.79070338675709,0.0733409059536611,0.359482916518308
"AC116347.1",28.3587555684849,-0.00813784320618759,0.52790923586621,-0.0154152317354986,0.987700911703076,0.995797742715391
"MYEF2",28.9144031584544,-0.936316748723363,0.653952132343146,-1.43178178098218,0.152206282926452,0.496193284637645
"MYT1",28.5506181735118,-0.54379993028938,0.989614977170972,-0.549506568548456,0.582657858059436,0.834542251681007
"CCDC196",30.7620484149019,-2.12248387808468,1.08779254709448,-1.95118442735602,0.0510351107773618,0.307875570179249
"SPC24",29.0303144531951,-0.592468060672482,0.85912670461881,-0.689616627544312,0.490435308105783,0.783993872482511
"SPACA9",30.7660513782513,-0.354416588694694,0.559947428762856,-0.632946184747628,0.526768786430026,0.803503129676249
"HCG25",29.9399373694074,-0.517722467630517,0.53872285882856,-0.961018191721606,0.336543021018757,0.679340490081435
"ZNF287",30.0210307742576,-0.194832709638633,0.511173783951164,-0.381147695276263,0.70309365797993,0.894944072823438
"LAYN",29.2824121705761,0.26512718907711,0.583105921343958,0.45468100969724,0.64933874488915,0.869557367127522
"COCH",31.5969396835465,0.947245583171283,0.596988450115208,1.58670671599841,0.112579084559012,0.434572469962456
"AC135050.7",29.5804629942396,0.651202227039959,0.600412834332758,1.08459078454518,0.278102938373449,0.625866838251403
"AC022306.2",29.5529951908596,-1.98154465849031,0.66153591141327,-2.995369751367,0.00274112340549309,0.081998191290771
"CD300LF",27.7864879633728,-0.990957281525309,0.787755840960546,-1.25794977326603,0.208409921412007,0.563328503531288
"NTRK3",30.9211782642126,-1.2520437997613,0.415876481382416,-3.01061458344406,0.00260719556473675,0.0797562650555799
"OXT",27.6113892381185,0.322979437275676,0.937380200414165,0.344555429198284,0.730428618363148,0.905763537228139
"SLC22A20P",30.7027835188451,-1.74929713878929,0.860341337194996,-2.03325943223022,0.0420263194247735,0.282176521227467
"AL132780.1",31.0010245217239,-0.47091137743925,0.594130753412977,-0.792605625502644,0.42800763015517,0.744806493283711
"AC024580.2",30.7374050328762,0.255409320307945,0.724348633382868,0.352605511402882,0.724384205169872,0.903623903373895
"BOC",32.1945702859047,0.617738267983192,0.75225834732675,0.821178349404041,0.411544686911712,0.735274993664161
"ANGPT1",29.4820024863929,-0.389518100152644,0.674300400752248,-0.577662566592128,0.563491956658131,0.824039650027891
"CXCL3",28.8567296461031,-0.719739455227671,0.773991008248393,-0.929906739945858,0.352419373012101,0.690944252771043
"ASDURF",28.9501543734565,0.154105653748037,0.577943571331486,0.266644809964757,0.789742650938078,0.927355224428767
"PRR15L",29.5853405459988,-0.227353951964191,0.656912215516996,-0.346094876292202,0.729271413898961,0.905452264858764
"RTN1",29.9725676913876,0.445799120765075,0.472047904727154,0.944393813214251,0.344968441831446,0.685496288702487
"FTCD-AS1",30.486688661003,-0.375993040676555,0.863917211558681,-0.43521883306178,0.66340359374363,0.877102673663267
"AC015712.2",30.4723110415417,-0.200766040271807,0.792369721724208,-0.253374194858099,0.799979066702582,0.932023130682421
"WNT5B",28.043724218883,-0.793940211466058,0.697212579425229,-1.13873477744847,0.25481379273546,0.607609298848106
"ASB16",29.9815185169608,-0.598524636546258,0.496354095239926,-1.20584204358573,0.227878400896995,0.582965889175189
"LINC01843",29.0239131261909,1.38492015840567,0.71785905280097,1.92923687874651,0.0537014618340106,0.314696229067355
"SNAP25-AS1",30.9877050099124,0.586242311916707,1.07266129611724,0.546530684046075,0.584701201664729,0.83575264307122
"ATP6V1G2-DDX39B",26.1339517059543,1.96459409423761,2.10077925619246,0.935173978154336,0.349698646615862,0.688820396547691
"TMPRSS3",28.7677845884128,0.54851645528708,0.792283905139082,0.692323107574412,0.488734441791909,0.783403577882386
"AC078795.1",29.5434418094573,-0.860030428938978,0.487091493737351,-1.76564452468702,0.0774555052017515,0.36927372786755
"AL078621.1",26.7248023624416,0.552191249438215,0.570788052133317,0.967419075039155,0.333334578123474,0.67572747502356
"CYP1B1-AS1",28.9249040638041,-0.768669197211768,0.695387688825512,-1.10538223434761,0.268993998468377,0.619001786399556
"IQSEC3",28.3860458425302,-0.00997591438193936,0.608305132181619,-0.0163995236176322,0.986915659796881,0.995602231580226
"AC018630.2",29.634619875712,0.056849668494417,0.529321237189729,0.107401072354933,0.914470803812453,0.972647693648097
"AC016831.1",28.3598047476002,-1.37786129979226,0.922285381002858,-1.4939641548845,0.135184988448703,0.473357030821542
"ZC3H11B",29.9044975140207,-1.03419207187105,0.671457003091221,-1.54022084379177,0.123506530782286,0.45529030426109
"LRRC70",29.4751873934481,-1.06589490882673,0.801220696318581,-1.33033871157381,0.183406697939198,0.533919411217444
"YPEL4",31.0137647828749,0.0990323861062725,0.468478198651963,0.211391664310605,0.832581660699671,0.944896736661388
"TRIM6",28.9282066180102,0.113784296317721,0.6838807821128,0.166380309688178,0.867857668568869,0.956623011595385
"ZNF827",30.4459789385773,-0.0178254546138574,0.416132894981309,-0.0428359661753201,0.965832293429054,0.990001959858666
"SMTNL1",30.6362497172642,-0.0732754608276578,0.520060555869691,-0.140897939673814,0.887950569813031,0.964441036528993
"AC004943.2",28.2507463229297,0.929416471003828,0.885977804450256,1.04902906860124,0.294164739883021,0.639861996232629
"AC002553.2",29.7475779473447,-1.81991819439334,0.520916801155054,-3.49368304181771,0.000476406269169198,0.0317705812783555
"CNTF",28.8022612285124,-0.628538941719278,0.518422883480152,-1.21240585967178,0.225357058982023,0.579449859245571
"GNLY",28.7599969717117,-1.0321193544746,0.854838117390089,-1.20738574178907,0.227283623985287,0.582337879066038
"CDKN3",27.8834027350108,1.93609388729792,1.02910901239835,1.88133022252505,0.0599270122632307,0.328760496364785
"ZNF273",29.3387621968664,-0.339709644224485,0.446991721120562,-0.759990908495727,0.447260019293482,0.758755482231985
"MYL3",29.9582858211179,-1.02981383186536,0.627311297692349,-1.64163125334053,0.100666446614183,0.413325521707089
"SNHG22",30.1667336826798,0.00152801077363203,0.604806271429454,0.00252644664219601,0.997984189374964,0.999483640961829
"AL731769.2",29.1405860097825,-0.844400436889006,1.93843087567087,-0.435610290512302,0.663119503329194,0.876796602387526
"PYHIN1",28.8665445171422,-0.515579711153305,0.513639974433452,-1.00377645202166,0.315486377078368,0.659537847539539
"CCDC74A",30.2012009133615,-0.453470721588439,0.583931204906131,-0.776582442894683,0.437405163290041,0.751485869988826
"TAS2R4",28.1155299502333,-0.306889383376844,0.650937134764211,-0.471457790602173,0.637313855212955,0.863704811746902
"AC109583.1",29.8557535644199,-1.69623785052943,0.712471589642905,-2.38077963414597,0.0172760432679715,0.189740575338354
"AC079174.2",29.8196146441825,-0.559872045422557,0.643127670441309,-0.870545727006859,0.384002241278263,0.715405214124313
"IGHV3-21",29.5404676886901,0.97240265101237,0.795281957925447,1.22271433586769,0.221437610399836,0.576026416881335
"AL133410.1",29.2360135891392,0.0563354246150321,0.565206467384071,0.0996722929866103,0.920604497971862,0.974310810016307
"P4HA3",31.2276201701528,0.62097335159805,0.637875274287898,0.973502778096052,0.330303480158426,0.673565500705494
"AC090164.2",31.3545345559018,0.413662459018782,1.00501334835495,0.411598969999636,0.680633386689437,0.885971254129161
"AC119427.1",28.2727703736826,-0.968560265299842,0.937493536305531,-1.0331380727346,0.301539288384042,0.645887037626352
"AC106028.3",28.560382676257,-0.790559662230731,0.60128901008061,-1.31477484034632,0.188585585502143,0.540797059208067
"JMJD7",30.1499826885879,-0.241707223831999,0.601332629826584,-0.401952616311048,0.687718898623825,0.889223629428914
"AC018362.1",30.1322379919298,-0.0978556498463223,0.666512117905673,-0.146817510465985,0.883276063106138,0.962859848574966
"AMZ1",28.2309409562552,1.23189133132414,0.98185429982799,1.25465797882634,0.209602946333252,0.565178767793623
"PYGM",30.3096303603952,-0.9032222885494,0.566036207843918,-1.595697017316,0.110556454890066,0.430792610797067
"FGF13",29.3240034317935,0.323462375163611,0.409878492096311,0.789166500318845,0.430014698680814,0.746170384721745
"SFN",28.2479052606476,0.733165958194314,0.991725852261696,0.739282894080336,0.459735234266618,0.766547237293035
